"ActivityDate","METs"
"2016-04-12",11605
"2016-04-13",11205
"2016-04-14",11642
"2016-04-15",11637
"2016-04-16",11437
"2016-04-17",10719
"2016-04-18",11274
"2016-04-19",11418
"2016-04-20",11588
"2016-04-21",11349
"2016-04-22",11237
"2016-04-23",11660
"2016-04-24",11085
"2016-04-25",11388
"2016-04-26",11312
"2016-04-27",11321
"2016-04-28",11224
"2016-04-29",10998
"2016-04-30",11008
"2016-05-01",10028
"2016-05-02",9820
"2016-05-03",10451
"2016-05-04",9819
"2016-05-05",10395
"2016-05-06",10241
"2016-05-07",9661
"2016-05-08",9309
"2016-05-09",9438
"2016-05-10",8739
"2016-05-11",7829
"2016-05-12",3418
