"Id","Date","Hour","TotalIntensity","AverageIntensity"
1503960366,2016-04-12,"a-AM12",20,0.333333
1503960366,2016-04-12,"b-AM1",8,0.133333
1503960366,2016-04-12,"c-AM2",7,0.116667
1503960366,2016-04-12,"d-AM3",0,0
1503960366,2016-04-12,"e-AM4",0,0
1503960366,2016-04-12,"f-AM5",0,0
1503960366,2016-04-12,"g-AM6",0,0
1503960366,2016-04-12,"h-AM7",0,0
1503960366,2016-04-12,"i-AM8",13,0.216667
1503960366,2016-04-12,"j-AM9",30,0.5
1503960366,2016-04-12,"k-AM10",29,0.483333
1503960366,2016-04-12,"l-AM11",12,0.2
1503960366,2016-04-12,"m-PM12",11,0.183333
1503960366,2016-04-12,"n-PM1",6,0.1
1503960366,2016-04-12,"o-PM2",36,0.6
1503960366,2016-04-12,"p-PM3",58,0.966667
1503960366,2016-04-12,"q-PM4",13,0.216667
1503960366,2016-04-12,"r-PM5",16,0.266667
1503960366,2016-04-12,"s-PM6",29,0.483333
1503960366,2016-04-12,"t-PM7",39,0.65
1503960366,2016-04-12,"u-PM8",41,0.683333
1503960366,2016-04-12,"v-PM9",31,0.516667
1503960366,2016-04-12,"w-PM10",9,0.15
1503960366,2016-04-12,"x-PM11",21,0.35
1503960366,2016-04-13,"a-AM12",14,0.233333
1503960366,2016-04-13,"b-AM1",0,0
1503960366,2016-04-13,"c-AM2",0,0
1503960366,2016-04-13,"d-AM3",4,0.066667
1503960366,2016-04-13,"e-AM4",0,0
1503960366,2016-04-13,"f-AM5",0,0
1503960366,2016-04-13,"g-AM6",0,0
1503960366,2016-04-13,"h-AM7",8,0.133333
1503960366,2016-04-13,"i-AM8",12,0.2
1503960366,2016-04-13,"j-AM9",27,0.45
1503960366,2016-04-13,"k-AM10",15,0.25
1503960366,2016-04-13,"l-AM11",16,0.266667
1503960366,2016-04-13,"m-PM12",15,0.25
1503960366,2016-04-13,"n-PM1",10,0.166667
1503960366,2016-04-13,"o-PM2",46,0.766667
1503960366,2016-04-13,"p-PM3",13,0.216667
1503960366,2016-04-13,"q-PM4",10,0.166667
1503960366,2016-04-13,"r-PM5",23,0.383333
1503960366,2016-04-13,"s-PM6",25,0.416667
1503960366,2016-04-13,"t-PM7",13,0.216667
1503960366,2016-04-13,"u-PM8",0,0
1503960366,2016-04-13,"v-PM9",0,0
1503960366,2016-04-13,"w-PM10",11,0.183333
1503960366,2016-04-13,"x-PM11",56,0.933333
1503960366,2016-04-14,"a-AM12",4,0.066667
1503960366,2016-04-14,"b-AM1",3,0.05
1503960366,2016-04-14,"c-AM2",0,0
1503960366,2016-04-14,"d-AM3",0,0
1503960366,2016-04-14,"e-AM4",0,0
1503960366,2016-04-14,"f-AM5",0,0
1503960366,2016-04-14,"g-AM6",0,0
1503960366,2016-04-14,"h-AM7",0,0
1503960366,2016-04-14,"i-AM8",0,0
1503960366,2016-04-14,"j-AM9",14,0.233333
1503960366,2016-04-14,"k-AM10",23,0.383333
1503960366,2016-04-14,"l-AM11",7,0.116667
1503960366,2016-04-14,"m-PM12",18,0.3
1503960366,2016-04-14,"n-PM1",54,0.9
1503960366,2016-04-14,"o-PM2",22,0.366667
1503960366,2016-04-14,"p-PM3",7,0.116667
1503960366,2016-04-14,"q-PM4",25,0.416667
1503960366,2016-04-14,"r-PM5",5,0.083333
1503960366,2016-04-14,"s-PM6",12,0.2
1503960366,2016-04-14,"t-PM7",1,0.016667
1503960366,2016-04-14,"u-PM8",24,0.4
1503960366,2016-04-14,"v-PM9",57,0.95
1503960366,2016-04-14,"w-PM10",17,0.283333
1503960366,2016-04-14,"x-PM11",0,0
1503960366,2016-04-15,"a-AM12",6,0.1
1503960366,2016-04-15,"b-AM1",5,0.083333
1503960366,2016-04-15,"c-AM2",7,0.116667
1503960366,2016-04-15,"d-AM3",0,0
1503960366,2016-04-15,"e-AM4",0,0
1503960366,2016-04-15,"f-AM5",1,0.016667
1503960366,2016-04-15,"g-AM6",0,0
1503960366,2016-04-15,"h-AM7",1,0.016667
1503960366,2016-04-15,"i-AM8",5,0.083333
1503960366,2016-04-15,"j-AM9",2,0.033333
1503960366,2016-04-15,"k-AM10",8,0.133333
1503960366,2016-04-15,"l-AM11",23,0.383333
1503960366,2016-04-15,"m-PM12",13,0.216667
1503960366,2016-04-15,"n-PM1",9,0.15
1503960366,2016-04-15,"o-PM2",0,0
1503960366,2016-04-15,"p-PM3",0,0
1503960366,2016-04-15,"q-PM4",0,0
1503960366,2016-04-15,"r-PM5",47,0.783333
1503960366,2016-04-15,"s-PM6",22,0.366667
1503960366,2016-04-15,"t-PM7",32,0.533333
1503960366,2016-04-15,"u-PM8",8,0.133333
1503960366,2016-04-15,"v-PM9",14,0.233333
1503960366,2016-04-15,"w-PM10",66,1.1
