"Id","ActivityDate","Hour","StepTotal"
1503960366,2016-04-12,"a-AM12",373
1503960366,2016-04-12,"b-AM1",160
1503960366,2016-04-12,"c-AM2",151
1503960366,2016-04-12,"d-AM3",0
1503960366,2016-04-12,"e-AM4",0
1503960366,2016-04-12,"f-AM5",0
1503960366,2016-04-12,"g-AM6",0
1503960366,2016-04-12,"h-AM7",0
1503960366,2016-04-12,"i-AM8",250
1503960366,2016-04-12,"j-AM9",1864
1503960366,2016-04-12,"k-AM10",676
1503960366,2016-04-12,"l-AM11",360
1503960366,2016-04-12,"m-PM12",253
1503960366,2016-04-12,"n-PM1",221
1503960366,2016-04-12,"o-PM2",1166
1503960366,2016-04-12,"p-PM3",2063
1503960366,2016-04-12,"q-PM4",344
1503960366,2016-04-12,"r-PM5",489
1503960366,2016-04-12,"s-PM6",1386
1503960366,2016-04-12,"t-PM7",558
1503960366,2016-04-12,"u-PM8",1733
1503960366,2016-04-12,"v-PM9",684
1503960366,2016-04-12,"w-PM10",89
1503960366,2016-04-12,"x-PM11",338
1503960366,2016-04-13,"a-AM12",144
1503960366,2016-04-13,"b-AM1",0
1503960366,2016-04-13,"c-AM2",0
1503960366,2016-04-13,"d-AM3",36
1503960366,2016-04-13,"e-AM4",0
1503960366,2016-04-13,"f-AM5",0
1503960366,2016-04-13,"g-AM6",0
1503960366,2016-04-13,"h-AM7",126
1503960366,2016-04-13,"i-AM8",275
1503960366,2016-04-13,"j-AM9",1679
1503960366,2016-04-13,"k-AM10",295
1503960366,2016-04-13,"l-AM11",524
1503960366,2016-04-13,"m-PM12",486
1503960366,2016-04-13,"n-PM1",302
1503960366,2016-04-13,"o-PM2",1577
1503960366,2016-04-13,"p-PM3",493
1503960366,2016-04-13,"q-PM4",299
1503960366,2016-04-13,"r-PM5",695
1503960366,2016-04-13,"s-PM6",1343
1503960366,2016-04-13,"t-PM7",258
1503960366,2016-04-13,"u-PM8",0
1503960366,2016-04-13,"v-PM9",0
1503960366,2016-04-13,"w-PM10",437
1503960366,2016-04-13,"x-PM11",1766
1503960366,2016-04-14,"a-AM12",81
1503960366,2016-04-14,"b-AM1",58
1503960366,2016-04-14,"c-AM2",0
1503960366,2016-04-14,"d-AM3",0
1503960366,2016-04-14,"e-AM4",0
1503960366,2016-04-14,"f-AM5",0
1503960366,2016-04-14,"g-AM6",0
1503960366,2016-04-14,"h-AM7",0
1503960366,2016-04-14,"i-AM8",0
1503960366,2016-04-14,"j-AM9",902
1503960366,2016-04-14,"k-AM10",1106
1503960366,2016-04-14,"l-AM11",50
1503960366,2016-04-14,"m-PM12",501
1503960366,2016-04-14,"n-PM1",1779
1503960366,2016-04-14,"o-PM2",1228
1503960366,2016-04-14,"p-PM3",139
1503960366,2016-04-14,"q-PM4",408
1503960366,2016-04-14,"r-PM5",37
1503960366,2016-04-14,"s-PM6",322
1503960366,2016-04-14,"t-PM7",11
1503960366,2016-04-14,"u-PM8",806
1503960366,2016-04-14,"v-PM9",2670
1503960366,2016-04-14,"w-PM10",362
1503960366,2016-04-14,"x-PM11",0
1503960366,2016-04-15,"a-AM12",83
1503960366,2016-04-15,"b-AM1",75
1503960366,2016-04-15,"c-AM2",124
1503960366,2016-04-15,"d-AM3",0
1503960366,2016-04-15,"e-AM4",0
1503960366,2016-04-15,"f-AM5",26
1503960366,2016-04-15,"g-AM6",0
1503960366,2016-04-15,"h-AM7",7
1503960366,2016-04-15,"i-AM8",55
1503960366,2016-04-15,"j-AM9",21
1503960366,2016-04-15,"k-AM10",154
1503960366,2016-04-15,"l-AM11",425
