"Id","Distance","Steps","Calories","Intensity","METs","meanHrtRate","TotalMinutesAsleep"
2026352035,110,172068,47775,7958,10241,89,14173
2347167796,114,171337,36729,6012,6506,75,6702
4020332650,47,68399,73933,3190,8924,83,2795
4388161847,262,319765,94167,10519,12030,65,9675
4558609924,153,237909,63046,10635,11290,80,638
5553957443,175,266906,58134,9376,10573,66,14368
5577150313,187,248519,100816,14086,13244,67,11232
6117666160,150,185673,60558,8277,9707,83,8618
6775888955,47,65371,55551,2668,7226,89,1049
6962181067,206,303621,61461,10889,11404,75,13888
7007744171,206,294409,66129,10566,10190,90,137
8792009665,35,53750,56740,2980,8077,72,6535
