"ActivityDate","meanHrtRate"
"2016-04-12",76
"2016-04-13",73
"2016-04-14",74
"2016-04-15",76
"2016-04-16",78
"2016-04-17",76
"2016-04-18",76
"2016-04-19",77
"2016-04-20",76
"2016-04-21",75
"2016-04-22",75
"2016-04-23",75
"2016-04-24",75
"2016-04-25",75
"2016-04-26",75
"2016-04-27",73
"2016-04-28",74
"2016-04-29",75
"2016-04-30",75
"2016-05-01",72
"2016-05-02",73
"2016-05-03",74
"2016-05-04",73
"2016-05-05",76
"2016-05-06",75
"2016-05-07",78
"2016-05-08",76
"2016-05-09",75
"2016-05-10",73
"2016-05-11",72
"2016-05-12",73
