"Date","TotInt"
"2016-04-12",9293
"2016-04-13",8709
"2016-04-14",9524
"2016-04-15",9606
"2016-04-16",9843
"2016-04-17",7864
"2016-04-18",9400
"2016-04-19",9620
"2016-04-20",10037
"2016-04-21",9378
"2016-04-22",9336
"2016-04-23",10218
"2016-04-24",8859
"2016-04-25",9627
"2016-04-26",9438
"2016-04-27",9283
"2016-04-28",9175
"2016-04-29",9003
"2016-04-30",9685
"2016-05-01",7775
"2016-05-02",7556
"2016-05-03",8923
"2016-05-04",7075
"2016-05-05",8826
"2016-05-06",8298
"2016-05-07",7860
"2016-05-08",7311
"2016-05-09",8070
"2016-05-10",7520
"2016-05-11",6604
"2016-05-12",2253
