"Id","TotInt","AvgInt"
1503960366,11594,123
1624580081,5917,46
1644430081,7448,83
1844505072,3671,21
1927972279,1367,10
2022484408,12535,163
2026352035,7958,66
2320127002,6426,28
2347167796,6012,65
2873212765,11115,131
3372868164,7259,78
3977333714,10599,125
4020332650,3190,29
4057192912,431,1
4319703577,8189,96
4388161847,10519,109
4445114986,7198,42
4558609924,10635,113
4702921684,9453,101
5553957443,9376,99
5577150313,14086,190
6117666160,8277,125
6290855005,7049,63
6775888955,2668,40
6962181067,10889,134
7007744171,10566,141
7086361926,9942,112
8053475328,13193,196
8253242879,3925,34
8378563200,10921,117
8583815059,6556,68
8792009665,2980,22
8877689391,14025,159
